Admin1,Admin2,pop2015_total,pop2015_men,pop2015_women,pop2020_total,pop2020_men,pop2020_women
Seoul,Jongno-gu,161521,79510,82011,151291,73062,78229
Seoul,Jung-gu,128478,63218,65260,128744,62147,66597
Seoul,Yongsan-gu,227282,109980,117302,225882,109162,116720
Seoul,Seongdong-gu,295006,146332,148674,291918,142128,149790
Seoul,Gwangjin-gu,368199,180647,187552,353967,169925,184042
Seoul,Dongdaemun-gu,364787,181189,183598,351057,171484,179573
Seoul,Jungnang-gu,403237,199936,203301,385663,189537,196126
Seoul,Seongbuk-gu,456844,221861,234983,438833,209682,229151
Seoul,Gangbuk-gu,319992,156386,163606,299535,144779,154756
Seoul,Dobong-gu,340095,166187,173908,315979,153080,162899
Seoul,Nowon-gu,562996,274128,288868,511982,246317,265665
Seoul,Eunpyeong-gu,478374,232709,245665,463102,221828,241274
Seoul,Seodaemun-gu,308768,147956,160812,317209,148696,168513
Seoul,Mapo-gu,381330,182657,198673,365612,171161,194451
Seoul,Yangcheon-gu,465512,229878,235634,439068,214978,224090
Seoul,Gangseo-gu,570507,278270,292237,564854,271779,293075
Seoul,Guro-gu,444832,222985,221847,435442,216855,218587
Seoul,Geumcheon-gu,250690,128036,122654,249419,126490,122929
Seoul,Yeongdeungpo-gu,406528,203801,202727,403619,200678,202941
Seoul,Dongjak-gu,407894,200602,207292,392772,189611,203161
Seoul,Gwanak-gu,519622,261967,257655,502641,250850,251791
Seoul,Seocho-gu,420804,201841,218963,401749,192081,209668
Seoul,Gangnam-gu,541688,259526,282162,508135,243322,264813
Seoul,Songpa-gu,634941,309336,325605,643288,309802,333486
Seoul,Gangdong-gu,444385,220597,223788,444434,218299,226135
Busan,Jung-gu,45377,22483,22894,41439,20420,21019
Busan,Seo-gu,111996,54966,57030,105303,51131,54172
Busan,Dong-gu,89202,43693,45509,87246,42455,44791
Busan,Yeongdo-gu,129515,65271,64244,113224,56614,56610
Busan,Busanjin-gu,376321,182765,193556,351403,168641,182762
Busan,Dongnae-gu,262154,128417,133737,263345,127745,135600
Busan,Nam-gu,283741,139889,143852,269111,131685,137426
Busan,Buk-gu,299182,148380,150802,280177,138111,142066
Busan,Haeundae-gu,409037,199004,210033,389535,187806,201729
Busan,Saha-gu,334762,167470,167292,312057,155311,156746
Busan,Geumjeong-gu,249444,122287,127157,237219,115300,121919
Busan,Gangseo-gu,92628,49588,43040,136734,72095,64639
Busan,Yeonje-gu,203527,99356,104171,204947,98187,106760
Busan,Suyeong-gu,173069,82744,90325,171461,80701,90760
Busan,Sasang-gu,240709,121853,118856,216350,108761,107589
Busan,Gijang-gun,148073,73181,74892,169465,83788,85677
Daegu,Jung-gu,78334,38087,40247,74278,35692,38586
Daegu,Dong-gu,339608,168319,171289,333294,163476,169818
Daegu,Seo-gu,202963,102410,100553,170437,84983,85454
Daegu,Nam-gu,160164,77484,82680,145588,69569,76019
Daegu,Buk-gu,450579,226389,224190,446466,222464,224002
Daegu,Suseong-gu,437328,214012,223316,412912,200040,212872
Daegu,Dalseo-gu,607224,303973,303251,566712,280919,285793
Daegu,Dalseong-gun,189852,97837,92015,261013,133128,127885
Incheon,Jung-gu,112910,58048,54862,138586,71310,67276
Incheon,Dong-gu,71054,35690,35364,61285,30795,30490
Incheon,Nam-gu,405746,205639,200107,-,-,-
Incheon,Yeonsu-gu,317172,158521,158651,390260,194264,195996
Incheon,Namdong-gu,527324,265206,262118,528927,264341,264586
Incheon,Bupyeong-gu,548461,272632,275829,500812,247253,253559
Incheon,Gyeyang-gu,327311,163077,164234,292852,145258,147594
Incheon,Seo-gu,499540,254279,245261,541534,275253,266281
Incheon,Michuhol-gu,-,-,-,405886,204401,201485
Incheon,Ganghwa-gun,62291,31298,30993,66020,33116,32904
Incheon,Ongjin-gun,18642,10627,8015,19292,11073,8219
Gwangju,Dong-gu,104173,52286,51887,106005,52810,53195
Gwangju,Seo-gu,305512,151010,154502,294854,145078,149776
Gwangju,Nam-gu,221759,107673,114086,214860,103479,111381
Gwangju,Buk-gu,459715,229791,229924,439352,218672,220680
Gwangju,Gwangsan-gu,411722,208107,203615,422502,214101,208401
Daejeon,Dong-gu,247975,125189,122786,232559,117184,115375
Daejeon,Jung-gu,250434,123975,126459,231959,113814,118145
Daejeon,Seo-gu,491507,242100,249407,478629,235043,243586
Daejeon,Yuseong-gu,350015,180320,169695,368895,188856,180039
Daejeon,Daedeok-gu,198463,100659,97804,176393,89452,86941
Ulsan,Jung-gu,236988,120967,116021,214147,108242,105905
Ulsan,Nam-gu,341363,175212,166151,320175,163148,157027
Ulsan,Dong-gu,176861,95586,81275,159000,84211,74789
Ulsan,Buk-gu,188664,98305,90359,217051,112638,104413
Ulsan,Ulju-gun,222739,116854,105885,225050,117739,107311
Sejong,Sejong-si,204088,103210,100878,353933,177939,175994
Gyeonggi-do,Suwon-si,1194313,602702,591611,1210150,609616,600534
,Jangan-gu,299611,151312,148299,278507,140771,137736
,Gwonseon-gu,349339,175856,173483,373381,188046,185335
,Paldal-gu,208903,105184,103719,187922,95112,92810
,Yeongtong-gu,336460,170350,166110,370340,185687,184653
,Seongnam-si,948757,470483,478274,922025,455702,466323
,Sujeong-gu,225967,114620,111347,249044,125587,123457
,Jungwon-gu,244451,123308,121143,211880,106618,105262
,Bundang-gu,478339,232555,245784,461101,223497,237604
,Uijeongbu-si,421579,208264,213315,449572,221225,228347
,Anyang-si,585177,290592,294585,542336,267405,274931
,Manan-gu,245305,122912,122393,240986,119998,120988
,Dongan-gu,339872,167680,172192,301350,147407,153943
,Bucheon-si,843794,420867,422927,833148,412302,420846
,Wonmi-gu,440396,218373,222023,-,-,-
,Sosa-gu,221553,110016,111537,-,-,-
,Ojeong-gu,181845,92478,89367,-,-,-
,Gwangmyeong-si,338509,167641,170868,298116,146922,151194
,Pyeongtaek-si,457873,236164,221709,542522,282271,260251
,Dongducheon-si,97424,48625,48799,95239,47654,47585
,Ansan-si,747035,386254,360781,717345,370722,346623
,Sangnok-gu,383508,195050,188458,359979,183258,176721
,Danwon-gu,363527,191204,172323,357366,187464,169902
,Goyang-si,990073,486128,503945,1045497,510418,535079
,Deogyang-gu,425100,210781,214319,460881,227271,233610
,Ilsandong-gu,277925,135656,142269,292616,141805,150811
,Ilsanseo-gu,287048,139691,147357,292000,141342,150658
,Gwacheon-si,64817,31557,33260,58018,28614,29404
,Guri-si,180063,89294,90769,192051,95061,96990
,Namyangju-si,629061,314270,314791,696033,346351,349682
,Osan-si,213840,109743,104097,240645,124161,116484
,Siheung-si,425184,226111,199073,535147,281928,253219
,Gunpo-si,285721,142116,143605,275571,136710,138861
,Uiwang-si,154879,77353,77526,160230,79633,80597
,Hanam-si,154838,78307,76531,279795,140355,139440
,Yongin-si,971327,485568,485759,1066975,530711,536264
,Cheoin-gu,231892,120555,111337,268242,139004,129238
,Giheung-gu,407238,202288,204950,434871,214600,220271
,Suji-gu,332197,162725,169472,363862,177107,186755
,Paju-si,415345,212388,202957,460541,235488,225053
,Icheon-si,209003,106437,102566,226212,117642,108570
,Anseong-si,194765,100873,93892,203030,106461,96569
,Gimpo-si,352683,181687,170996,474546,243883,230663
,Hwaseong-si,608725,321376,287349,880859,464634,416225
,Gwangju-si,310278,160954,149324,385141,198755,186386
,Yangju-si,205988,106033,99955,233286,119562,113724
,Pocheon-si,163388,88047,75341,157939,86546,71393
,Yeoju-si,109937,55713,54224,113352,57759,55593
,Yeoncheon-gun,43846,22880,20966,42278,22325,19953
,Gapyeong-gun,58909,29933,28976,60233,30708,29525
,Yangpyeong-gun,101930,51301,50629,113844,56843,57001
,Gangwon-do,1518040,768241,749799,1521763,767674,754089
,Chuncheon-si,281596,138548,143048,284645,140439,144206
,Wonju-si,330854,165595,165259,352429,174982,177447
,Gangneung-si,215677,108604,107073,216542,108540,108002
,Donghae-si,90255,45712,44543,87801,44707,43094
,Taebaek-si,46715,23689,23026,41494,20913,20581
,Sokcho-si,79846,39482,40364,80054,39893,40161
,Samcheok-si,69509,35953,33556,65939,34186,31753
,Hongcheon-gun,67190,34285,32905,66587,34176,32411
,Hoengseong-gun,42669,21519,21150,44649,22760,21889
,Yeongwol-gun,36967,18902,18065,36282,18690,17592
,Pyeongchang-gun,40427,20711,19716,39258,19979,19279
,Jeongseon-gun,36701,18976,17725,34524,17916,16608
,Cheorwon-gun,46025,24692,21333,43042,22489,20553
,Hwacheon-gun,25343,14176,11167,23733,12860,10873
,Yanggu-gun,22497,12029,10468,21317,11284,10033
,Inje-gun,31219,16938,14281,30147,16236,13911
,Goseong-gun,28689,15348,13341,26572,14056,12516
,Yangyang-gun,25861,13082,12779,26748,13568,13180
,Chungcheongbuk-do,1589347,805377,783970,1632088,833819,798269
,Chungju-si,211005,107171,103834,218412,112015,106397
,Jecheon-si,136350,68515,67835,134768,67686,67082
,Chungju-si,833276,417411,415865,855326,431319,424007
,Sangdang-gu,171877,85662,86215,184787,92125,92662
,Seowon-gu,222721,110177,112544,202390,100697,101693
,Heungdeok-gu,255542,128512,127030,270590,137094,133496
,Cheongwon-gu,183136,93060,90076,197559,101403,96156
,Boeun-gun,32522,16129,16393,31543,15914,15629
,Okcheon-gun,50704,25511,25193,48868,24573,24295
,Yeongdong-gun,49542,24759,24783,47016,23615,23401
,Jincheon-gun,71152,38173,32979,89514,48190,41324
,Goesan-gun,37830,19365,18465,38093,19815,18278
,Eumseong-gun,102023,55512,46511,103725,57583,46142
,Danyang-gun,28770,14456,14314,27640,13966,13674
,Jeungpyeong-gun,36173,18375,17798,37183,19143,18040
,Chungcheongnam-do,2107802,1078310,1029492,2176636,1117575,1059061
,Cheonan-si,629062,322793,306269,682199,348584,333615
,Dongnam-gu,277781,142078,135703,273764,138907,134857
,Sebuk-gu,351281,180715,170566,408435,209677,198758
,Gongju-si,113542,56610,56932,108333,53933,54400
,Boryeong-si,101852,52245,49607,99088,51355,47733
,Asan-si,319929,166820,153109,340518,178858,161660
,Seosan-si,169221,87287,81934,176379,92061,84318
,Nonsan-si,124246,62191,62055,119707,59849,59858
,Gyeryong-si,39243,19447,19796,40854,20370,20484
,Dangjin-si,163762,86801,76961,168955,90641,78314
,Geumsan-gun,55923,28086,27837,53758,26834,26924
,Buyeo-gun,69017,34262,34755,64207,31844,32363
,Seocheon-gun,54768,27161,27607,51039,25533,25506
,Cheongyang-gun,31653,15841,15812,30103,15202,14901
,Hongseong-gun,94114,47283,46831,102757,51604,51153
,Yesan-gun,81747,41150,40597,77838,39641,38197
,Taean-gun,59723,30333,29390,60901,31266,29635
,Jeollabuk-do,1834114,915729,918385,1802766,899058,903708
,Jeonju-si,658172,325652,332520,666517,328910,337607
,Wansan-gu,367243,180484,186759,342896,167167,175729
,Deokjin-gu,290929,145168,145761,323621,161743,161878
,Gunsan-si,275155,141399,133756,269023,136934,132089
,Iksan-si,301723,151707,150016,285312,142948,142364
,Jeongeup-si,110627,54898,55729,106706,53174,53532
,Namwon-si,80499,39380,41119,78097,38214,39883
,Gimje-si,84269,41856,42413,79733,39603,40130
,Wanju-gun,95357,48888,46469,95834,49451,46383
,Jinan-gun,22886,11158,11728,23380,11664,11716
,Muju-gun,23408,11503,11905,22678,11177,11501
,Jangsu-gun,21620,10634,10986,20879,10377,10502
,Imsil-gun,25935,12791,13144,26075,13179,12896
,Sunchang-gun,26707,12779,13928,26598,12784,13814
,Gochang-gun,55665,27464,28201,52608,26092,26516
,Buan-gun,52091,25620,26471,49326,24551,24775
,Jeollanam-do,1799044,900967,898077,1788807,903281,885526
,Mokpo-si,239524,120500,119024,224509,112446,112063
,Yeosu-si,273761,139565,134196,271505,140228,131277
,Suncheon-si,265390,132329,133061,272449,136023,136426
,Naju-si,92582,46188,46394,113293,56528,56765
,Gwangyang-si,144414,74195,70219,143928,75009,68919
,Damyang-gun,43634,21499,22135,44201,22115,22086
,Gokseong-gun,28617,13764,14853,27349,13421,13928
,Gurye-gun,24595,11893,12702,23907,11502,12405
,Goheung-gun,62477,30075,32402,60045,29349,30696
,Boseong-gun,40688,19495,21193,37888,18255,19633
,Hwasun-gun,61380,29583,31797,60247,29207,31040
,Jangheung-gun,36890,17843,19047,35273,17111,18162
,Gangjin-gun,35126,16754,18372,32778,15901,16877
,Haenam-gun,69237,33940,35297,65223,32470,32753
,Yeongam-gun,61535,33155,28380,57076,30667,26409
,Muan-gun,80521,40472,40049,84637,42867,41770
,Hampyeong-gun,31367,15387,15980,30156,15057,15099
,Yeonggwang-gun,51007,25292,25715,50196,25157,25039
,Jangseong-gun,42058,20966,21092,41443,20969,20474
,Wando-gun,48468,24624,23844,48269,25277,22992
,Jindo-gun,29538,14648,14890,29297,15042,14255
,Sinan-gun,36235,18800,17435,35138,18680,16458
,Gyeongsangbuk-do,2680294,1351037,1329257,2644757,1338823,1305934
,Pohang-si,511804,259502,252302,501109,254268,246841
,Nam-gu,243870,126467,117403,228937,119250,109687
,Buk-gu,267934,133035,134899,272172,135018,137154
,Gyeongju-si,262310,133092,129218,261778,132827,128951
,Gimcheon-si,137540,68528,69012,139145,69808,69337
,Andong-si,168581,83170,85411,159412,78996,80416
,Gumi-si,421075,216825,204250,416603,214920,201683
,Yeongju-si,109266,54737,54529,103818,51865,51953
,Yeongcheon-si,97669,49573,48096,100353,51436,48917
,Sangju-si,98760,48392,50368,95473,47016,48457
,Mungyeong-si,71863,35180,36683,68212,33446,34766
,Gyeongsan-si,278500,140493,138007,283733,143389,140344
,Gunwi-gun,22012,11000,11012,22096,11379,10717
,Uiseong-gun,51021,24577,26444,49243,24004,25239
,Cheongsong-gun,24732,12185,12547,23761,11817,11944
,Yeongyang-gun,16781,8069,8712,15743,7703,8040
,Yeongdeok-gun,36539,17416,19123,34893,16886,18007
,Cheongdo-gun,41596,19840,21756,41378,20180,21198
,Goryeong-gun,34117,17588,16529,31419,16396,15023
,Seongju-gun,41179,20981,20198,41574,21716,19858
,Chilgok-gun,122462,63739,58723,115756,60517,55239
,Yecheon-gun,42702,20782,21920,53718,26306,27412
,Bonghwa-gun,31628,15563,16065,29945,14870,15075
,Uljin-gun,49387,25085,24302,47151,24395,22756
,Ulleung-gun,8770,4720,4050,8444,4683,3761
,Gyeongsangnam-do,3334524,1698737,1635787,3333056,1692212,1640844
,Jinju-si,349788,174628,175160,352403,175605,176798
,Tongyeong-si,137208,70701,66507,127984,65869,62115
,Sacheon-si,113335,57815,55520,111184,57145,54039
,Gimhae-si,534124,274843,259281,552427,283063,269364
,Miryang-si,103069,50357,52712,103228,50545,52683
,Geoje-si,261371,142297,119074,246965,131923,115042
,Yangsan-si,297532,150294,147238,351206,176742,174464
,Changwon-si,1059241,541834,517407,1029389,522913,506476
,Uichang-gu,255200,130777,124423,262203,133404,128799
,Seongsan-gu,234908,122454,112454,213607,110503,103104
,Masanhappo-gu,178945,89461,89484,172632,85874,86758
,Masanhoewon-gu,208766,105597,103169,190389,95207,95182
,Jinhae-gu,181422,93545,87877,190558,97925,92633
,Uiryeong-gun,27069,13021,14048,25965,12784,13181
,Haman-gun,69355,36055,33300,65279,34271,31008
,Changnyeong-gun,61635,30805,30830,61302,30881,30421
,Goseong-gun,53882,27420,26462,50016,25327,24689
,Namhae-gun,44248,21277,22971,41587,20446,21141
,Hadong-gun,44918,21951,22967,41772,20773,20999
,Sancheong-gun,34034,16359,17675,33500,16275,17225
,Hamyang-gun,38454,18378,20076,37114,17980,19134
,Geochang-gun,60464,29567,30897,59595,29300,30295
,Hapcheon-gun,44797,21135,23662,42140,20370,21770
,Jeju,605619,304789,300830,670858,338173,332685
,Jeju-si,451758,226801,224957,492306,247474,244832
,Seogwipo-si,153861,77988,75873,178552,90699,87853