sggcd,sggnm_kr,population_total,population_nonrelative_total,population_male,population_nonrelative_male,population_female,population_nonrelative_female,,sido_kr,sigungu_kr,sigungu_1_kr,sigungu_2_kr,sido_en,sigun_en,sigungu_1_en,sigungu_2_en,sdsgg_en,base_year
11010,종로구,129548,4902,61912,2448,67636,2454,,서울특별시,종로구,종로구,종로구,Seoul,Jongno-gu,Jongno-gu,Jongno-gu,Jongno-gu Seoul,2020
11020,중구,114165,5036,54695,2506,59470,2530,,서울특별시,중구,중구,중구,Seoul,Jung-gu,Jung-gu,Jung-gu,Jung-gu Seoul,2020
11030,용산구,199442,8568,94573,4268,104869,4300,,서울특별시,용산구,용산구,용산구,Seoul,Yongsan-gu,Yongsan-gu,Yongsan-gu,Yongsan-gu Seoul,2020
11040,성동구,263868,7119,127131,3561,136737,3558,,서울특별시,성동구,성동구,성동구,Seoul,Seongdong-gu,Seongdong-gu,Seongdong-gu,Seongdong-gu Seoul,2020
11050,광진구,321416,9255,153569,4407,167847,4848,,서울특별시,광진구,광진구,광진구,Seoul,Gwangjin-gu,Gwangjin-gu,Gwangjin-gu,Gwangjin-gu Seoul,2020
11060,동대문구,326843,8757,158824,4408,168019,4349,,서울특별시,동대문구,동대문구,동대문구,Seoul,Dongdaemun-gu,Dongdaemun-gu,Dongdaemun-gu,Dongdaemun-gu Seoul,2020
11070,중랑구,366044,7869,177901,4019,188143,3850,,서울특별시,중랑구,중랑구,중랑구,Seoul,Jungnang-gu,Jungnang-gu,Jungnang-gu,Jungnang-gu Seoul,2020
11080,성북구,407265,9137,193822,4391,213443,4746,,서울특별시,성북구,성북구,성북구,Seoul,Seongbuk-gu,Seongbuk-gu,Seongbuk-gu,Seongbuk-gu Seoul,2020
11090,강북구,274648,6155,131568,3083,143080,3072,,서울특별시,강북구,강북구,강북구,Seoul,Gangbuk-gu,Gangbuk-gu,Gangbuk-gu,Gangbuk-gu Seoul,2020
11100,도봉구,292856,5061,140759,2592,152097,2469,,서울특별시,도봉구,도봉구,도봉구,Seoul,Dobong-gu,Dobong-gu,Dobong-gu,Dobong-gu Seoul,2020
11110,노원구,476548,8279,226873,4138,249675,4141,,서울특별시,노원구,노원구,노원구,Seoul,Nowon-gu,Nowon-gu,Nowon-gu,Nowon-gu Seoul,2020
11120,은평구,442002,10589,207882,5066,234120,5523,,서울특별시,은평구,은평구,은평구,Seoul,Eunpyeong-gu,Eunpyeong-gu,Eunpyeong-gu,Eunpyeong-gu Seoul,2020
11130,서대문구,293455,8364,137728,3990,155727,4374,,서울특별시,서대문구,서대문구,서대문구,Seoul,Seodaemun-gu,Seodaemun-gu,Seodaemun-gu,Seodaemun-gu Seoul,2020
11140,마포구,344866,12988,160138,6028,184728,6960,,서울특별시,마포구,마포구,마포구,Seoul,Mapo-gu,Mapo-gu,Mapo-gu,Mapo-gu Seoul,2020
11150,양천구,413952,6687,200490,3419,213462,3268,,서울특별시,양천구,양천구,양천구,Seoul,Yangcheon-gu,Yangcheon-gu,Yangcheon-gu,Yangcheon-gu Seoul,2020
11160,강서구,537347,16403,255359,8282,281988,8121,,서울특별시,강서구,강서구,강서구,Seoul,Gangseo-gu,Gangseo-gu,Gangseo-gu,Gangseo-gu Seoul,2020
11170,구로구,378092,10229,184267,5236,193825,4993,,서울특별시,구로구,구로구,구로구,Seoul,Guro-gu,Guro-gu,Guro-gu,Guro-gu Seoul,2020
11180,금천구,219602,6673,109532,3524,110070,3149,,서울특별시,금천구,금천구,금천구,Seoul,Geumcheon-gu,Geumcheon-gu,Geumcheon-gu,Geumcheon-gu Seoul,2020
11190,영등포구,355332,11683,172607,5859,182725,5824,,서울특별시,영등포구,영등포구,영등포구,Seoul,Yeongdeungpo-gu,Yeongdeungpo-gu,Yeongdeungpo-gu,Yeongdeungpo-gu Seoul,2020
11200,동작구,361991,8973,174125,4408,187866,4565,,서울특별시,동작구,동작구,동작구,Seoul,Dongjak-gu,Dongjak-gu,Dongjak-gu,Dongjak-gu Seoul,2020
11210,관악구,461910,20185,230653,10880,231257,9305,,서울특별시,관악구,관악구,관악구,Seoul,Gwanak-gu,Gwanak-gu,Gwanak-gu,Gwanak-gu Seoul,2020
11220,서초구,375801,8540,178355,4271,197446,4269,,서울특별시,서초구,서초구,서초구,Seoul,Seocho-gu,Seocho-gu,Seocho-gu,Seocho-gu Seoul,2020
11230,강남구,499355,16346,237607,8189,261748,8157,,서울특별시,강남구,강남구,강남구,Seoul,Gangnam-gu,Gangnam-gu,Gangnam-gu,Gangnam-gu Seoul,2020
11240,송파구,616529,15340,294130,7598,322399,7742,,서울특별시,송파구,송파구,송파구,Seoul,Songpa-gu,Songpa-gu,Songpa-gu,Songpa-gu Seoul,2020
11250,강동구,436034,8979,211373,4655,224661,4324,,서울특별시,강동구,강동구,강동구,Seoul,Gangdong-gu,Gangdong-gu,Gangdong-gu,Gangdong-gu Seoul,2020
21010,중구,36857,1466,17677,756,19180,710,,부산광역시,중구,중구,중구,Busan,Jung-gu,Jung-gu,Jung-gu,Jung-gu Busan,2020
21020,서구,98638,2162,46949,1102,51689,1060,,부산광역시,서구,서구,서구,Busan,Seo-gu,Seo-gu,Seo-gu,Seo-gu Busan,2020
21030,동구,83549,2304,40221,1196,43328,1108,,부산광역시,동구,동구,동구,Busan,Dong-gu,Dong-gu,Dong-gu,Dong-gu Busan,2020
21040,영도구,101502,1911,49452,1023,52050,888,,부산광역시,영도구,영도구,영도구,Busan,Yeongdo-gu,Yeongdo-gu,Yeongdo-gu,Yeongdo-gu Busan,2020
21050,부산진구,344860,10165,164121,5140,180739,5025,,부산광역시,부산진구,부산진구,부산진구,Busan,Busanjin-gu,Busanjin-gu,Busanjin-gu,Busanjin-gu Busan,2020
21060,동래구,259149,3654,124467,1800,134682,1854,,부산광역시,동래구,동래구,동래구,Busan,Dongnae-gu,Dongnae-gu,Dongnae-gu,Dongnae-gu Busan,2020
21070,남구,244798,5583,118633,2978,126165,2605,,부산광역시,남구,남구,남구,Busan,Nam-gu,Nam-gu,Nam-gu,Nam-gu Busan,2020
21080,북구,264231,3243,129038,1741,135193,1502,,부산광역시,북구,북구,북구,Busan,Buk-gu,Buk-gu,Buk-gu,Buk-gu Busan,2020
21090,해운대구,361942,6490,172575,3282,189367,3208,,부산광역시,해운대구,해운대구,해운대구,Busan,Haeundae-gu,Haeundae-gu,Haeundae-gu,Haeundae-gu Busan,2020
21100,사하구,286095,4885,140980,2635,145115,2250,,부산광역시,사하구,사하구,사하구,Busan,Saha-gu,Saha-gu,Saha-gu,Saha-gu Busan,2020
21110,금정구,208264,3768,101417,1975,106847,1793,,부산광역시,금정구,금정구,금정구,Busan,Geumjeong-gu,Geumjeong-gu,Geumjeong-gu,Geumjeong-gu Busan,2020
21120,강서구,135722,2752,69407,1558,66315,1194,,부산광역시,강서구,강서구,강서구,Busan,Gangseo-gu,Gangseo-gu,Gangseo-gu,Gangseo-gu Busan,2020
21130,연제구,194193,3676,92109,1845,102084,1831,,부산광역시,연제구,연제구,연제구,Busan,Yeonje-gu,Yeonje-gu,Yeonje-gu,Yeonje-gu Busan,2020
21140,수영구,165447,4733,77395,2363,88052,2370,,부산광역시,수영구,수영구,수영구,Busan,Suyeong-gu,Suyeong-gu,Suyeong-gu,Suyeong-gu Busan,2020
21150,사상구,196481,3735,97636,2001,98845,1734,,부산광역시,사상구,사상구,사상구,Busan,Sasang-gu,Sasang-gu,Sasang-gu,Sasang-gu Busan,2020
21510,기장군,169448,3300,83443,1796,86005,1504,,부산광역시,기장군,기장군,기장군,Busan,Gijang-gun,Gijang-gun,Gijang-gun,Gijang-gun Busan,2020
22010,중구,83408,2210,39622,1105,43786,1105,,대구광역시,중구,중구,중구,Daegu,Jung-gu,Jung-gu,Jung-gu,Jung-gu Daegu,2020
22020,동구,328212,5352,159497,2762,168715,2590,,대구광역시,동구,동구,동구,Daegu,Dong-gu,Dong-gu,Dong-gu,Dong-gu Daegu,2020
22030,서구,154688,2218,76278,1179,78410,1039,,대구광역시,서구,서구,서구,Daegu,Seo-gu,Seo-gu,Seo-gu,Seo-gu Daegu,2020
22040,남구,134854,2888,64208,1466,70646,1422,,대구광역시,남구,남구,남구,Daegu,Nam-gu,Nam-gu,Nam-gu,Nam-gu Daegu,2020
22050,북구,412175,5439,203694,3035,208481,2404,,대구광역시,북구,북구,북구,Daegu,Buk-gu,Buk-gu,Buk-gu,Buk-gu Daegu,2020
22060,수성구,388599,3926,186668,2015,201931,1911,,대구광역시,수성구,수성구,수성구,Daegu,Suseong-gu,Suseong-gu,Suseong-gu,Suseong-gu Daegu,2020
22070,달서구,516604,5787,252148,3144,264456,2643,,대구광역시,달서구,달서구,달서구,Daegu,Dalseo-gu,Dalseo-gu,Dalseo-gu,Dalseo-gu Daegu,2020
22510,달성군,252021,3762,126697,2056,125324,1706,,대구광역시,달성군,달성군,달성군,Daegu,Dalseong-gun,Dalseong-gun,Dalseong-gun,Dalseong-gun Daegu,2020
22520,군위군,20912,502,10355,259,10557,243,,대구광역시,군위군,군위군,군위군,Daegu,Gunwi-gun,Gunwi-gun,Gunwi-gun,Gunwi-gun Daegu,2020
23010,중구,148726,6426,76135,3583,72591,2843,,인천광역시,중구,중구,중구,Incheon,Jung-gu,Jung-gu,Jung-gu,Jung-gu Incheon,2020
23020,동구,57456,1437,28463,771,28993,666,,인천광역시,동구,동구,동구,Incheon,Dong-gu,Dong-gu,Dong-gu,Dong-gu Incheon,2020
23040,연수구,371516,7665,183099,4292,188417,3373,,인천광역시,연수구,연수구,연수구,Incheon,Yeonsu-gu,Yeonsu-gu,Yeonsu-gu,Yeonsu-gu Incheon,2020
23050,남동구,475389,12375,234175,6871,241214,5504,,인천광역시,남동구,남동구,남동구,Incheon,Namdong-gu,Namdong-gu,Namdong-gu,Namdong-gu Incheon,2020
23060,부평구,469557,12955,229368,6885,240189,6070,,인천광역시,부평구,부평구,부평구,Incheon,Bupyeong-gu,Bupyeong-gu,Bupyeong-gu,Bupyeong-gu Incheon,2020
23070,계양구,269847,6505,133055,3632,136792,2873,,인천광역시,계양구,계양구,계양구,Incheon,Gyeyang-gu,Gyeyang-gu,Gyeyang-gu,Gyeyang-gu Incheon,2020
23080,서구,595707,14436,297677,8222,298030,6214,,인천광역시,서구,서구,서구,Incheon,Seo-gu,Seo-gu,Seo-gu,Seo-gu Incheon,2020
23090,미추홀구,390448,13501,195168,7572,195280,5929,,인천광역시,미추홀구,미추홀구,미추홀구,Incheon,Michuhol-gu,Michuhol-gu,Michuhol-gu,Michuhol-gu Incheon,2020
23510,강화군,62544,1463,31047,761,31497,702,,인천광역시,강화군,강화군,강화군,Incheon,Ganghwa-gun,Ganghwa-gun,Ganghwa-gun,Ganghwa-gun Incheon,2020
23520,옹진군,18061,1355,10161,968,7900,387,,인천광역시,옹진군,옹진군,옹진군,Incheon,Ongjin-gun,Ongjin-gun,Ongjin-gun,Ongjin-gun Incheon,2020
24010,동구,105552,2772,52037,1445,53515,1327,,광주광역시,동구,동구,동구,Gwangju,Dong-gu,Dong-gu,Dong-gu,Dong-gu Gwangju,2020
24020,서구,277388,5436,135228,2880,142160,2556,,광주광역시,서구,서구,서구,Gwangju,Seo-gu,Seo-gu,Seo-gu,Seo-gu Gwangju,2020
24030,남구,204533,2939,97938,1528,106595,1411,,광주광역시,남구,남구,남구,Gwangju,Nam-gu,Nam-gu,Nam-gu,Nam-gu Gwangju,2020
24040,북구,413120,7350,203123,3995,209997,3355,,광주광역시,북구,북구,북구,Gwangju,Buk-gu,Buk-gu,Buk-gu,Buk-gu Gwangju,2020
24050,광산구,387736,6862,193940,3923,193796,2939,,광주광역시,광산구,광산구,광산구,Gwangju,Gwangsan-gu,Gwangsan-gu,Gwangsan-gu,Gwangsan-gu Gwangju,2020
25010,동구,215377,5270,107962,2979,107415,2291,,대전광역시,동구,동구,동구,Daejeon,Dong-gu,Dong-gu,Dong-gu,Dong-gu Daejeon,2020
25020,중구,213069,4397,103748,2348,109321,2049,,대전광역시,중구,중구,중구,Daejeon,Jung-gu,Jung-gu,Jung-gu,Jung-gu Daejeon,2020
25030,서구,452001,11101,221388,5971,230613,5130,,대전광역시,서구,서구,서구,Daejeon,Seo-gu,Seo-gu,Seo-gu,Seo-gu Daejeon,2020
25040,유성구,353619,8031,179125,4734,174494,3297,,대전광역시,유성구,유성구,유성구,Daejeon,Yuseong-gu,Yuseong-gu,Yuseong-gu,Yuseong-gu Daejeon,2020
25050,대덕구,164815,3583,83193,2078,81622,1505,,대전광역시,대덕구,대덕구,대덕구,Daejeon,Daedeok-gu,Daedeok-gu,Daedeok-gu,Daedeok-gu Daejeon,2020
26010,중구,198454,2300,99629,1237,98825,1063,,울산광역시,중구,중구,중구,Ulsan,Jung-gu,Jung-gu,Jung-gu,Jung-gu Ulsan,2020
26020,남구,296317,6356,150229,3665,146088,2691,,울산광역시,남구,남구,남구,Ulsan,Nam-gu,Nam-gu,Nam-gu,Nam-gu Ulsan,2020
26030,동구,145657,2043,75216,1268,70441,775,,울산광역시,동구,동구,동구,Ulsan,Dong-gu,Dong-gu,Dong-gu,Dong-gu Ulsan,2020
26040,북구,208128,2487,106797,1484,101331,1003,,울산광역시,북구,북구,북구,Ulsan,Buk-gu,Buk-gu,Buk-gu,Buk-gu Ulsan,2020
26510,울주군,206254,4201,105867,2546,100387,1655,,울산광역시,울주군,울주군,울주군,Ulsan,Ulju-gun,Ulju-gun,Ulju-gun,Ulju-gun Ulsan,2020
29010,세종시,371001,7327,184026,4095,186975,3232,,세종특별자치시,세종시,세종시,세종시,Sejong City,Sejong City,Sejong City,Sejong City,Sejong City Sejong City,2020
31010,수원시,1149558,30152,573852,16220,575706,13932,,경기도,수원시 ,수원시 ,,Gyeonggi-do,Suwon-si,,,,
31011,장안구,257615,5231,128432,2808,129183,2423,,경기도,수원시 장안구,수원시 ,장안구,Gyeonggi-do,Suwon-si,Jangan-gu,Jangan-gu Suwon-si,Jangan-gu Suwon-si Gyeonggi-do,2020
31012,권선구,354861,9211,177563,5017,177298,4194,,경기도,수원시 권선구,수원시 ,권선구,Gyeonggi-do,Suwon-si,Gwonseon-gu,Gwonseon-gu Suwon-si,Gwonseon-gu Suwon-si Gyeonggi-do,2020
31013,팔달구,189803,7465,94802,4032,95001,3433,,경기도,수원시 팔달구,수원시 ,팔달구,Gyeonggi-do,Suwon-si,Paldal-gu,Paldal-gu Suwon-si,Paldal-gu Suwon-si Gyeonggi-do,2020
31014,영통구,347279,8245,173055,4363,174224,3882,,경기도,수원시 영통구,수원시 ,영통구,Gyeonggi-do,Suwon-si,Yeongtong-gu,Yeongtong-gu Suwon-si,Yeongtong-gu Suwon-si Gyeonggi-do,2020
31020,성남시,867550,19048,426691,10038,440859,9010,,경기도,성남시 ,성남시 ,,Gyeonggi-do,Seongnam-si,,,,
31021,수정구,220763,4902,111039,2713,109724,2189,,경기도,성남시 수정구,성남시 ,수정구,Gyeonggi-do,Seongnam-si,Sujeong-gu,Sujeong-gu Seongnam-si,Sujeong-gu Seongnam-si Gyeonggi-do,2020
31022,중원구,204189,5432,102205,2978,101984,2454,,경기도,성남시 중원구,성남시 ,중원구,Gyeonggi-do,Seongnam-si,Jungwon-gu,Jungwon-gu Seongnam-si,Jungwon-gu Seongnam-si Gyeonggi-do,2020
31023,분당구,442598,8714,213447,4347,229151,4367,,경기도,성남시 분당구,성남시 ,분당구,Gyeonggi-do,Seongnam-si,Bundang-gu,Bundang-gu Seongnam-si,Bundang-gu Seongnam-si Gyeonggi-do,2020
31030,의정부시,444578,9321,216833,4930,227745,4391,,경기도,의정부시,의정부시,의정부시,Gyeonggi-do,Uijeongbu-si,Uijeongbu-si,Uijeongbu-si,Uijeongbu-si Gyeonggi-do,2020
31040,안양시,520538,10678,255231,5699,265307,4979,,경기도,안양시 ,안양시,,Gyeonggi-do,Anyang-si,,,,2020
31041,만안구,222292,5177,110075,2848,112217,2329,,경기도,안양시 만안구,안양시,만안구,Gyeonggi-do,Anyang-si,Manan-gu,Manan-gu Anyang-si,Manan-gu Anyang-si Gyeonggi-do,2020
31042,동안구,298246,5501,145156,2851,153090,2650,,경기도,안양시 동안구,안양시,동안구,Gyeonggi-do,Anyang-si,Dongan-gu,Dongan-gu Anyang-si,Dongan-gu Anyang-si Gyeonggi-do,2020
31050,부천시,751913,16359,368922,8666,382991,7693,,경기도,부천시,부천시,부천시,Gyeonggi-do,Bucheon-si,Bucheon-si,Bucheon-si,Bucheon-si Gyeonggi-do,2020
31060,광명시,267948,4957,130418,2582,137530,2375,,경기도,광명시,광명시,광명시,Gyeonggi-do,Gwangmyeong-si,Gwangmyeong-si,Gwangmyeong-si,Gwangmyeong-si Gyeonggi-do,2020
31070,평택시,563004,22131,292986,13733,270018,8398,,경기도,평택시,평택시,평택시,Gyeonggi-do,Pyeongtaek-si,Pyeongtaek-si,Pyeongtaek-si,Pyeongtaek-si Gyeonggi-do,2020
31080,동두천시,83563,2336,41409,1302,42154,1034,,경기도,동두천시,동두천시,동두천시,Gyeonggi-do,Dongducheon-si,Dongducheon-si,Dongducheon-si,Dongducheon-si Gyeonggi-do,2020
31090,안산시,608837,16779,308613,9364,300224,7415,,경기도,안산시 ,안산시,,Gyeonggi-do,Ansan-si,,,,2020
31091,상록구,323520,8340,163341,4619,160179,3721,,경기도,안산시 상록구,안산시,상록구,Gyeonggi-do,Ansan-si,Sangnok-gu,Sangnok-gu Ansan-si,Sangnok-gu Ansan-si Gyeonggi-do,2020
31092,단원구,285317,8439,145272,4745,140045,3694,,경기도,안산시 단원구,안산시,단원구,Gyeonggi-do,Ansan-si,Danwon-gu,Danwon-gu Ansan-si,Danwon-gu Ansan-si Gyeonggi-do,2020
31100,고양시,1013790,23923,490522,12625,523268,11298,,경기도,고양시 ,고양시,,Gyeonggi-do,Goyang-si,,,,2020
31101,덕양구,471116,11673,229830,6143,241286,5530,,경기도,고양시 덕양구,고양시,덕양구,Gyeonggi-do,Goyang-si,Deogyang-gu,Deogyang-gu Goyang-si,Deogyang-gu Goyang-si Gyeonggi-do,2020
31103,일산동구,273127,7657,131356,4131,141771,3526,,경기도,고양시 일산동구,고양시,일산동구,Gyeonggi-do,Goyang-si,Ilsandong-gu,Ilsandong-gu Goyang-si,Ilsandong-gu Goyang-si Gyeonggi-do,2020
31104,일산서구,269547,4593,129336,2351,140211,2242,,경기도,고양시 일산서구,고양시,일산서구,Gyeonggi-do,Goyang-si,Ilsanseo-gu,Ilsanseo-gu Goyang-si,Ilsanseo-gu Goyang-si Gyeonggi-do,2020
31110,과천시,75748,963,37014,470,38734,493,,경기도,과천시,과천시,과천시,Gyeonggi-do,Gwacheon-si,Gwacheon-si,Gwacheon-si,Gwacheon-si Gyeonggi-do,2020
31120,구리시,178896,3673,87757,2003,91139,1670,,경기도,구리시,구리시,구리시,Gyeonggi-do,Guri-si,Guri-si,Guri-si,Guri-si Gyeonggi-do,2020
31130,남양주시,693990,12198,341343,6651,352647,5547,,경기도,남양주시,남양주시,남양주시,Gyeonggi-do,Namyangju-si,Namyangju-si,Namyangju-si,Namyangju-si Gyeonggi-do,2020
31140,오산시,223548,6910,115476,4127,108072,2783,,경기도,오산시,오산시,오산시,Gyeonggi-do,Osan-si,Osan-si,Osan-si,Osan-si Gyeonggi-do,2020
31150,시흥시,501750,14367,259373,8803,242377,5564,,경기도,시흥시,시흥시,시흥시,Gyeonggi-do,Siheung-si,Siheung-si,Siheung-si,Siheung-si Gyeonggi-do,2020
31160,군포시,251401,5556,123825,3012,127576,2544,,경기도,군포시,군포시,군포시,Gyeonggi-do,Gunpo-si,Gunpo-si,Gunpo-si,Gunpo-si Gyeonggi-do,2020
31170,의왕시,150836,2283,74389,1243,76447,1040,,경기도,의왕시,의왕시,의왕시,Gyeonggi-do,Uiwang-si,Uiwang-si,Uiwang-si,Uiwang-si Gyeonggi-do,2020
31180,하남시,314122,6624,155404,3618,158718,3006,,경기도,하남시,하남시,하남시,Gyeonggi-do,Hanam-si,Hanam-si,Hanam-si,Hanam-si Gyeonggi-do,2020
31190,용인시,1014424,20370,500237,11150,514187,9220,,경기도,용인시 ,용인시 ,,Gyeonggi-do,Yongin-si,,,,2020
31191,처인구,248319,7290,126520,4267,121799,3023,,경기도,용인시 처인구,용인시 ,처인구,Gyeonggi-do,Yongin-si,Cheoin-gu,Cheoin-gu Yongin-si,Cheoin-gu Yongin-si Gyeonggi-do,2020
31192,기흥구,410711,7384,201138,3975,209573,3409,,경기도,용인시 기흥구,용인시 ,기흥구,Gyeonggi-do,Yongin-si,Giheung-gu,Giheung-gu Yongin-si,Giheung-gu Yongin-si Gyeonggi-do,2020
31193,수지구,355394,5696,172579,2908,182815,2788,,경기도,용인시 수지구,용인시 ,수지구,Gyeonggi-do,Yongin-si,Suji-gu,Suji-gu Yongin-si,Suji-gu Yongin-si Gyeonggi-do,2020
31200,파주시,466690,10769,233344,6061,233346,4708,,경기도,파주시,파주시,파주시,Gyeonggi-do,Paju-si,Paju-si,Paju-si,Paju-si Gyeonggi-do,2020
31210,이천시,208133,6514,107043,4071,101090,2443,,경기도,이천시,이천시,이천시,Gyeonggi-do,Icheon-si,Icheon-si,Icheon-si,Icheon-si Gyeonggi-do,2020
31220,안성시,180842,6239,92666,3645,88176,2594,,경기도,안성시,안성시,안성시,Gyeonggi-do,Anseong-si,Anseong-si,Anseong-si,Anseong-si Gyeonggi-do,2020
31230,김포시,461671,9249,228545,5083,233126,4166,,경기도,김포시,김포시,김포시,Gyeonggi-do,Gimpo-si,Gimpo-si,Gimpo-si,Gimpo-si Gyeonggi-do,2020
31240,화성시,900234,24331,463118,14715,437116,9616,,경기도,화성시,화성시,화성시,Gyeonggi-do,Hwaseong-si,Hwaseong-si,Hwaseong-si,Hwaseong-si Gyeonggi-do,2020
31250,광주시,372346,9493,188281,5479,184065,4014,,경기도,광주시,광주시,광주시,Gyeonggi-do,Gwangju-si,Gwangju-si,Gwangju-si,Gwangju-si Gyeonggi-do,2020
31260,양주시,251220,5383,125689,3080,125531,2303,,경기도,양주시,양주시,양주시,Gyeonggi-do,Yangju-si,Yangju-si,Yangju-si,Yangju-si Gyeonggi-do,2020
31270,포천시,133025,4544,69090,2763,63935,1781,,경기도,포천시,포천시,포천시,Gyeonggi-do,Pocheon-si,Pocheon-si,Pocheon-si,Pocheon-si Gyeonggi-do,2020
31280,여주시,106595,3239,53846,1775,52749,1464,,경기도,여주시,여주시,여주시,Gyeonggi-do,Yeoju-si,Yeoju-si,Yeoju-si,Yeoju-si Gyeonggi-do,2020
31550,연천군,38393,1348,19798,826,18595,522,,경기도,연천군,연천군,연천군,Gyeonggi-do,Yeoncheon-gun,Yeoncheon-gun,Yeoncheon-gun,Yeoncheon-gun Gyeonggi-do,2020
31570,가평군,56116,1811,28498,984,27618,827,,경기도,가평군,가평군,가평군,Gyeonggi-do,Gapyeong-gun,Gapyeong-gun,Gapyeong-gun,Gapyeong-gun Gyeonggi-do,2020
31580,양평군,112797,3309,56175,1796,56622,1513,,경기도,양평군,양평군,양평군,Gyeonggi-do,Yangpyeong-gun,Yangpyeong-gun,Yangpyeong-gun,Yangpyeong-gun Gyeonggi-do,2020
32010,춘천시,274973,5039,134696,2680,140277,2359,,강원특별자치도,춘천시,춘천시,춘천시,Gangwon State,Chuncheon-si,Chuncheon-si,Chuncheon-si,Chuncheon-si Gangwon State,2020
32020,원주시,346855,6974,171004,3677,175851,3297,,강원특별자치도,원주시,원주시,원주시,Gangwon State,Wonju-si,Wonju-si,Wonju-si,Wonju-si Gangwon State,2020
32030,강릉시,201836,4394,100114,2382,101722,2012,,강원특별자치도,강릉시,강릉시,강릉시,Gangwon State,Gangneung-si,Gangneung-si,Gangneung-si,Gangneung-si Gangwon State,2020
32040,동해시,83342,1981,41958,1129,41384,852,,강원특별자치도,동해시,동해시,동해시,Gangwon State,Donghae-si,Donghae-si,Donghae-si,Donghae-si Gangwon State,2020
32050,태백시,37156,1212,18615,689,18541,523,,강원특별자치도,태백시,태백시,태백시,Gangwon State,Taebaek-si,Taebaek-si,Taebaek-si,Taebaek-si Gangwon State,2020
32060,속초시,77754,2341,38285,1278,39469,1063,,강원특별자치도,속초시,속초시,속초시,Gangwon State,Sokcho-si,Sokcho-si,Sokcho-si,Sokcho-si Gangwon State,2020
32070,삼척시,59085,1535,30208,860,28877,675,,강원특별자치도,삼척시,삼척시,삼척시,Gangwon State,Samcheok-si,Samcheok-si,Samcheok-si,Samcheok-si Gangwon State,2020
32510,홍천군,62050,1569,31663,930,30387,639,,강원특별자치도,홍천군,홍천군,홍천군,Gangwon State,Hongcheon-gun,Hongcheon-gun,Hongcheon-gun,Hongcheon-gun Gangwon State,2020
32520,횡성군,42517,1229,21702,681,20815,548,,강원특별자치도,횡성군,횡성군,횡성군,Gangwon State,Hoengseong-gun,Hoengseong-gun,Hoengseong-gun,Hoengseong-gun Gangwon State,2020
32530,영월군,34209,974,17585,568,16624,406,,강원특별자치도,영월군,영월군,영월군,Gangwon State,Yeongwol-gun,Yeongwol-gun,Yeongwol-gun,Yeongwol-gun Gangwon State,2020
32540,평창군,37062,1065,18979,579,18083,486,,강원특별자치도,평창군,평창군,평창군,Gangwon State,Pyeongchang-gun,Pyeongchang-gun,Pyeongchang-gun,Pyeongchang-gun Gangwon State,2020
32550,정선군,31531,1082,16337,614,15194,468,,강원특별자치도,정선군,정선군,정선군,Gangwon State,Jeongseon-gun,Jeongseon-gun,Jeongseon-gun,Jeongseon-gun Gangwon State,2020
